task,horizon,train_acc,train_f1,train_auc,train_n,train_pos_rate,val_acc,val_f1,val_auc,val_n,val_pos_rate,test_acc,test_f1,test_auc,test_n,test_pos_rate
direction,1day,0.5686444838916795,0.44711235900663215,0.6027229589762799,26477,0.4677267061978321,0.571493315205076,0.43870584743247254,0.6001510019909888,8826,0.4562655789712214,0.5169952413324269,0.19641847313854854,0.5158470060545236,8826,0.48221164740539313
direction,3day,0.5556898440155607,0.48754138351629206,0.5846603371539612,26477,0.49238962118064733,0.5496261046906866,0.415183169045167,0.5668065133997011,8826,0.47292091547699977,0.48595060049852706,0.21627224045603732,0.5144317667626491,8826,0.5184681622479039
direction,5day,0.5541413302111267,0.5313802548529236,0.5819602351106203,26477,0.49635532726517356,0.5658282347609336,0.4439930354033662,0.577678343033272,8826,0.4694085656016315,0.49671425334239744,0.2566934404283802,0.5307031607378458,8826,0.5194878767278496
direction,10day,0.5628658835970842,0.5636733770640127,0.5875942693781198,26477,0.5010764059372286,0.5542714706548832,0.3219579455360221,0.5626924732453152,8826,0.4627237706775436,0.49875368230228867,0.24376068376068377,0.5242180233955959,8826,0.5107636528438704
volatility,1day,0.42974734194581,0.0,,8747,0.0,0.4783950617283951,0.0,,2916,0.0,0.47530864197530864,0.0,,2916,0.0
volatility,3day,0.6143820738538928,0.5593729588504246,0.6650438419758061,8747,0.3844746770321253,0.6265432098765432,0.550185873605948,0.6781063578651866,2916,0.39814814814814814,0.6299725651577504,0.5406555981268625,0.6722020054265687,2916,0.35836762688614543
volatility,5day,0.6497084714759346,0.6246018132810586,0.7068587840502393,8747,0.43614953698410885,0.6539780521262003,0.6138538078836586,0.7069031855753539,2916,0.45747599451303156,0.6622085048010974,0.6111330438215554,0.7160260819857963,2916,0.4149519890260631
volatility,10day,0.693609237452841,0.6907454419570737,0.7639027372477338,8747,0.4816508517205899,0.6978737997256516,0.6907686907686907,0.7833075629109816,2916,0.5288065843621399,0.7064471879286695,0.6764928193499622,0.7804880952154212,2916,0.4451303155006859
risk,1day,0.6810470416842896,0.16836172037740474,0.6394327403267169,21279,0.06419474599370271,0.6368250387706189,0.1503957783641161,0.6035764561415556,7093,0.06301987875370083,0.5876797293487455,0.17998317914213624,0.6122104974685127,7094,0.07767127149703976
risk,3day,0.6373960841321038,0.34131044726852616,0.5930774568824501,22013,0.21764411938400036,0.6043881166530389,0.33340987370838115,0.5672498139657169,7338,0.21545380212591986,0.5790406105205778,0.3619086965502995,0.5827801076991104,7338,0.2184518942491142
risk,5day,0.5972379957297961,0.4024801186143685,0.5709483867567836,22013,0.3295325489483487,0.5662305805396566,0.38847262247838615,0.5460633436296165,7338,0.32420278004905967,0.5640501499046061,0.426394118701811,0.5634129396252632,7338,0.31520850367947667
risk,10day,0.5389542543042748,0.4464685028633761,0.545556286013821,22013,0.4850769999545723,0.5203052602889071,0.4477565108252275,0.5317783556056599,7338,0.4814663396020714,0.5372035977105478,0.48105134474327627,0.5391780577680978,7338,0.4458980648678114
